"specimen","code","operator","landmark","X","Y"
"T-26-0001_Operator_1","T-26-0001","Operator_1",1,2462,1986
"T-26-0001_Operator_1","T-26-0001","Operator_1",2,3486.833,1966.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",3,2946.167,1841.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",4,2932.167,2108.5
"T-26-0001_Operator_1","T-26-0001","Operator_1",5,NA,NA
"T-26-0001_Operator_1","T-26-0001","Operator_1",6,2565.833,2035.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",7,2563.5,1918.167
"T-26-0001_Operator_1","T-26-0001","Operator_1",8,2566.833,2116.167
"T-26-0001_Operator_1","T-26-0001","Operator_1",9,2464.167,2117.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",10,2694.833,2003.5
"T-26-0001_Operator_1","T-26-0001","Operator_1",11,2695.833,2113.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",12,2886.5,1946.5
"T-26-0001_Operator_1","T-26-0001","Operator_1",13,2566.167,1890.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",14,2567.5,1942.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",15,2506.833,1997.5
"T-26-0001_Operator_1","T-26-0001","Operator_1",16,3432.167,1904.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",17,3433.167,2014.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",18,3652.167,1792.5
"T-26-0001_Operator_1","T-26-0001","Operator_1",19,3632.833,2143.833
"T-26-0001_Operator_1","T-26-0001","Operator_1",20,3198.833,2232.167
"T-26-0001_Operator_1","T-26-0001","Operator_1",21,3346.167,2231.167
"T-26-0001_Operator_2","T-26-0001","Operator_2",1,2460,1980
"T-26-0001_Operator_2","T-26-0001","Operator_2",2,3478.833,1954.833
"T-26-0001_Operator_2","T-26-0001","Operator_2",3,2884.5,1843
"T-26-0001_Operator_2","T-26-0001","Operator_2",4,2896,2107.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",5,NA,NA
"T-26-0001_Operator_2","T-26-0001","Operator_2",6,2571.5,2035.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",7,2567.5,1912.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",8,2575,2113.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",9,2466.5,2115
"T-26-0001_Operator_2","T-26-0001","Operator_2",10,2695.5,2001.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",11,2700,2112
"T-26-0001_Operator_2","T-26-0001","Operator_2",12,2884,1941
"T-26-0001_Operator_2","T-26-0001","Operator_2",13,2566,1891.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",14,2567,1941
"T-26-0001_Operator_2","T-26-0001","Operator_2",15,2505.5,2019.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",16,3463.5,1896.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",17,3451,2026
"T-26-0001_Operator_2","T-26-0001","Operator_2",18,3651.5,1793.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",19,3634,2140.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",20,3345.5,2177.5
"T-26-0001_Operator_2","T-26-0001","Operator_2",21,3493,2178
"T-26-0001_Operator_4","T-26-0001","Operator_4",1,2455.871,1983.89
"T-26-0001_Operator_4","T-26-0001","Operator_4",2,3479.79,1958.077
"T-26-0001_Operator_4","T-26-0001","Operator_4",3,2921.618,1842.542
"T-26-0001_Operator_4","T-26-0001","Operator_4",4,2924.161,2105.783
"T-26-0001_Operator_4","T-26-0001","Operator_4",5,2563.97,1888.394
"T-26-0001_Operator_4","T-26-0001","Operator_4",6,2564.99,2037.074
"T-26-0001_Operator_4","T-26-0001","Operator_4",7,2564.726,1918.389
"T-26-0001_Operator_4","T-26-0001","Operator_4",8,2568.243,2112.027
"T-26-0001_Operator_4","T-26-0001","Operator_4",9,2457.807,2114.811
"T-26-0001_Operator_4","T-26-0001","Operator_4",10,2696.243,1994.201
"T-26-0001_Operator_4","T-26-0001","Operator_4",11,2697.801,2110.125
"T-26-0001_Operator_4","T-26-0001","Operator_4",12,2894.888,1972.822
"T-26-0001_Operator_4","T-26-0001","Operator_4",13,2564.108,1893.847
"T-26-0001_Operator_4","T-26-0001","Operator_4",14,2565.31,1941.567
"T-26-0001_Operator_4","T-26-0001","Operator_4",15,2508.437,2012.578
"T-26-0001_Operator_4","T-26-0001","Operator_4",16,3423.948,1907.643
"T-26-0001_Operator_4","T-26-0001","Operator_4",17,3425.368,2018.113
"T-26-0001_Operator_4","T-26-0001","Operator_4",18,3652.805,1785.91
"T-26-0001_Operator_4","T-26-0001","Operator_4",19,3624.655,2130.416
"T-26-0001_Operator_4","T-26-0001","Operator_4",20,3197.944,2195.722
"T-26-0001_Operator_4","T-26-0001","Operator_4",21,3345.556,2195.556
"T-26-0001_Operator_3","T-26-0001","Operator_3",1,677.24748677078,627.152656092577
"T-26-0001_Operator_3","T-26-0001","Operator_3",2,1420.429,632.774571428571
"T-26-0001_Operator_3","T-26-0001","Operator_3",3,1020.64247334261,534.355123951175
"T-26-0001_Operator_3","T-26-0001","Operator_3",4,1018.71428571429,732.942857142857
"T-26-0001_Operator_3","T-26-0001","Operator_3",5,NA,NA
"T-26-0001_Operator_3","T-26-0001","Operator_3",6,747.673756417893,667.589523861806
"T-26-0001_Operator_3","T-26-0001","Operator_3",7,748.485582008875,583.978052917973
"T-26-0001_Operator_3","T-26-0001","Operator_3",8,747.374241122928,730.890262008555
"T-26-0001_Operator_3","T-26-0001","Operator_3",9,676.466804683632,730.353871372811
"T-26-0001_Operator_3","T-26-0001","Operator_3",10,842.035714285714,647.335714285714
"T-26-0001_Operator_3","T-26-0001","Operator_3",11,841.398272116829,731.601521818422
"T-26-0001_Operator_3","T-26-0001","Operator_3",12,1002.32142857143,621.835714285714
"T-26-0001_Operator_3","T-26-0001","Operator_3",13,748.670393115753,564.944003407253
"T-26-0001_Operator_3","T-26-0001","Operator_3",14,748.300770901997,603.012102428694
"T-26-0001_Operator_3","T-26-0001","Operator_3",15,705.428571428571,650.978571428572
"T-26-0001_Operator_3","T-26-0001","Operator_3",16,1380.28556504823,594.282640545402
"T-26-0001_Operator_3","T-26-0001","Operator_3",17,1376.60729209463,669.424502311741
"T-26-0001_Operator_3","T-26-0001","Operator_3",18,1537.82142857143,512.55
"T-26-0001_Operator_3","T-26-0001","Operator_3",19,1525.07142857143,773.014285714286
"T-26-0001_Operator_3","T-26-0001","Operator_3",20,NA,NA
"T-26-0001_Operator_3","T-26-0001","Operator_3",21,NA,NA
"T-26-0002_Operator_1","T-26-0002","Operator_1",1,2598,1942
"T-26-0002_Operator_1","T-26-0002","Operator_1",2,3824.5,1866.167
"T-26-0002_Operator_1","T-26-0002","Operator_1",3,3197.167,1764.833
"T-26-0002_Operator_1","T-26-0002","Operator_1",4,3196.5,2059.5
"T-26-0002_Operator_1","T-26-0002","Operator_1",5,NA,NA
"T-26-0002_Operator_1","T-26-0002","Operator_1",6,2726.833,2020.833
"T-26-0002_Operator_1","T-26-0002","Operator_1",7,2726.833,1868.833
"T-26-0002_Operator_1","T-26-0002","Operator_1",8,2726.167,2094.167
"T-26-0002_Operator_1","T-26-0002","Operator_1",9,2598.167,2100.167
"T-26-0002_Operator_1","T-26-0002","Operator_1",10,2886.167,1954.833
"T-26-0002_Operator_1","T-26-0002","Operator_1",11,2890.167,2083.5
"T-26-0002_Operator_1","T-26-0002","Operator_1",12,3110.167,1912.167
"T-26-0002_Operator_1","T-26-0002","Operator_1",13,2727.167,1841.167
"T-26-0002_Operator_1","T-26-0002","Operator_1",14,2726.833,1897.833
"T-26-0002_Operator_1","T-26-0002","Operator_1",15,2668.833,1971.5
"T-26-0002_Operator_1","T-26-0002","Operator_1",16,3771.5,1805.5
"T-26-0002_Operator_1","T-26-0002","Operator_1",17,3775.167,1933.833
"T-26-0002_Operator_1","T-26-0002","Operator_1",18,3989.833,1641.167
"T-26-0002_Operator_1","T-26-0002","Operator_1",19,3993.5,2083.5
"T-26-0002_Operator_1","T-26-0002","Operator_1",20,3117,2334.5
"T-26-0002_Operator_1","T-26-0002","Operator_1",21,3265,2333.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",1,2596,1947
"T-26-0002_Operator_2","T-26-0002","Operator_2",2,3821.833,1866.167
"T-26-0002_Operator_2","T-26-0002","Operator_2",3,3065.167,1772.167
"T-26-0002_Operator_2","T-26-0002","Operator_2",4,3087.167,2073.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",5,NA,NA
"T-26-0002_Operator_2","T-26-0002","Operator_2",6,2739.5,2024
"T-26-0002_Operator_2","T-26-0002","Operator_2",7,2727.5,1864.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",8,2744,2093.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",9,2604.5,2103.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",10,2881,1949.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",11,2891,2085
"T-26-0002_Operator_2","T-26-0002","Operator_2",12,3098,1925.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",13,2725.5,1841.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",14,2728.833,1892.833
"T-26-0002_Operator_2","T-26-0002","Operator_2",15,2649.5,1987.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",16,3764,1807
"T-26-0002_Operator_2","T-26-0002","Operator_2",17,3772.5,1932.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",18,3981,1642
"T-26-0002_Operator_2","T-26-0002","Operator_2",19,3985.5,2082.5
"T-26-0002_Operator_2","T-26-0002","Operator_2",20,3558.5,2277
"T-26-0002_Operator_2","T-26-0002","Operator_2",21,3708,2275
"T-26-0002_Operator_4","T-26-0002","Operator_4",1,2596.215,1941.641
"T-26-0002_Operator_4","T-26-0002","Operator_4",2,3825.604,1864.475
"T-26-0002_Operator_4","T-26-0002","Operator_4",3,3130.143,1769.893
"T-26-0002_Operator_4","T-26-0002","Operator_4",4,3143.745,2065.255
"T-26-0002_Operator_4","T-26-0002","Operator_4",5,2758.775,1831.053
"T-26-0002_Operator_4","T-26-0002","Operator_4",6,2734.545,2021.823
"T-26-0002_Operator_4","T-26-0002","Operator_4",7,2726.719,1870.915
"T-26-0002_Operator_4","T-26-0002","Operator_4",8,2738.97,2092.308
"T-26-0002_Operator_4","T-26-0002","Operator_4",9,2601.175,2099.311
"T-26-0002_Operator_4","T-26-0002","Operator_4",10,2876.626,1952.016
"T-26-0002_Operator_4","T-26-0002","Operator_4",11,2884.754,2081.512
"T-26-0002_Operator_4","T-26-0002","Operator_4",12,3099.658,1939.662
"T-26-0002_Operator_4","T-26-0002","Operator_4",13,2725.073,1844.688
"T-26-0002_Operator_4","T-26-0002","Operator_4",14,2726.726,1897.245
"T-26-0002_Operator_4","T-26-0002","Operator_4",15,2653.395,1987.421
"T-26-0002_Operator_4","T-26-0002","Operator_4",16,3751.415,1809.888
"T-26-0002_Operator_4","T-26-0002","Operator_4",17,3755.956,1934.672
"T-26-0002_Operator_4","T-26-0002","Operator_4",18,3987.416,1637.093
"T-26-0002_Operator_4","T-26-0002","Operator_4",19,3994.702,2067.794
"T-26-0002_Operator_4","T-26-0002","Operator_4",20,3361.889,2295.889
"T-26-0002_Operator_4","T-26-0002","Operator_4",21,3510.833,2294.889
"T-26-0002_Operator_3","T-26-0002","Operator_3",1,670.821428571428,625.478585324969
"T-26-0002_Operator_3","T-26-0002","Operator_3",2,1427.72242857143,629.126585324969
"T-26-0002_Operator_3","T-26-0002","Operator_3",3,983.111184687362,545.278242193625
"T-26-0002_Operator_3","T-26-0002","Operator_3",4,982.285714285714,716.55
"T-26-0002_Operator_3","T-26-0002","Operator_3",5,NA,NA
"T-26-0002_Operator_3","T-26-0002","Operator_3",6,756.357780914473,678.282101507789
"T-26-0002_Operator_3","T-26-0002","Operator_3",7,756.810846560847,584.278307427301
"T-26-0002_Operator_3","T-26-0002","Operator_3",8,756.178595185777,715.460242197491
"T-26-0002_Operator_3","T-26-0002","Operator_3",9,670.389741023607,715.046769709037
"T-26-0002_Operator_3","T-26-0002","Operator_3",10,849.72619047619,639.68571552095
"T-26-0002_Operator_3","T-26-0002","Operator_3",11,849.358819080584,715.909338521539
