specimen,code,replicate,operator,site,landmark,X,Y
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,1,1751.0,1196.0
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,2,4420.167,1227.833
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,3,2838.5,912.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,4,2816.5,1581.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,5,1943.5,1081.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,6,1933.5,1377.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,7,1940.5,1155.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,8,1929.5,1571.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,9,1739.5,1569.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,10,2351.5,1378.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,11,2344.5,1578.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,12,2811.5,1426.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,13,1943.5,1095.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,14,1939.5,1221.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,15,1847.5,1292.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,16,4289.5,1103.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,17,4286.5,1385.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,18,4784.5,736.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,19,4777.5,1773.5
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,20,2477.5,1926.0
T-26-0004_rep1,T-26-0004,1,Operator_2,Saudrune,21,2625.0,1928.0
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,1,1752.0,1197.0
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,2,4415.167,1225.833
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,3,2960.5,908.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,4,2936.5,1578.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,5,1933.5,1082.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,6,1925.5,1369.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,7,1932.5,1153.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,8,1916.5,1569.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,9,1737.5,1569.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,10,2346.5,1380.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,11,2342.5,1574.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,12,2811.5,1431.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,13,1937.5,1093.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,14,1938.5,1219.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,15,1849.5,1290.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,16,4306.5,1096.833
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,17,4281.833,1386.833
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,18,4783.5,732.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,19,4778.5,1774.5
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,20,3501.5,1945.0
T-26-0004_rep2,T-26-0004,2,Operator_2,Saudrune,21,3649.5,1948.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,1,1754.0,1195.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,2,4416.5,1215.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,3,2949.5,908.167
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,4,2942.167,1580.167
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,5,1950.0,1080.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,6,1947.5,1383.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,7,1950.0,1159.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,8,1946.0,1575.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,9,1752.5,1574.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,10,2347.5,1384.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,11,2346.5,1578.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,12,2820.5,1424.167
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,13,1949.0,1094.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,14,1948.5,1223.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,15,1862.5,1299.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,16,4295.5,1098.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,17,4283.5,1389.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,18,4785.5,734.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,19,4778.5,1772.5
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,20,3356.0,1944.0
T-26-0004_rep3,T-26-0004,3,Operator_2,Saudrune,21,3502.0,1945.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,1,1750.0,1196.0
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,2,4424.5,1240.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,3,2997.167,908.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,4,2975.833,1579.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,5,1953.5,1079.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,6,1940.5,1379.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,7,1949.5,1156.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,8,1937.5,1558.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,9,1737.5,1559.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,10,2350.5,1378.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,11,2347.5,1561.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,12,2810.833,1417.833
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,13,1950.5,1095.833
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,14,1947.833,1221.167
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,15,1853.833,1299.167
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,16,4280.5,1104.833
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,17,4269.5,1387.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,18,4779.167,732.833
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,19,4768.5,1771.5
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,20,3944.167,1938.167
T-26-0004_rep4,T-26-0004,4,Operator_2,Saudrune,21,4090.833,1942.167
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,1,1753.0,1198.0
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,2,4415.833,1198.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,3,2954.5,908.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,4,2940.5,1580.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,5,1944.167,1082.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,6,1938.167,1379.167
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,7,1944.833,1156.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,8,1935.5,1579.167
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,9,1744.167,1579.167
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,10,2350.833,1381.167
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,11,2349.5,1579.833
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,12,2808.167,1418.167
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,13,1943.167,1095.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,14,1940.5,1218.833
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,15,1850.5,1293.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,16,4307.5,1093.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,17,4282.5,1386.5
T-26-0004_rep6,T-26-0004,6,Operator_2,Saudrune,18,4778.167,731.167
